
--- NEW BENCHMARK RUN ---

CPU | FPS | Dropped | Memory (MB) | Timestamp
---
8.5 | 1 | 0 | 187.00066375732422 | 258784.9599228334
8.5 | 2 | 2 | 204.40691375732422 | 258785.01637100006
8.5 | 3 | 0 | 204.40691375732422 | 258785.0433328334
8.5 | 4 | 0 | 204.40691375732422 | 258785.06001483338
8.5 | 5 | 0 | 204.40691375732422 | 258785.0766968334
9.299999999999999 | 6 | 0 | 204.40691375732422 | 258785.09337883338
9.299999999999999 | 7 | 0 | 204.40691375732422 | 258785.1100608334
9.299999999999999 | 8 | 0 | 204.40691375732422 | 258785.12674283338
9.299999999999999 | 9 | 0 | 204.40691375732422 | 258785.1434248334
9.299999999999999 | 10 | 0 | 204.40691375732422 | 258785.16010683338
9.299999999999999 | 11 | 0 | 204.40691375732422 | 258785.1767888334
9.299999999999999 | 12 | 0 | 204.40691375732422 | 258785.1934708334
9.299999999999999 | 13 | 0 | 204.40691375732422 | 258785.2101528334
6.3999999999999995 | 14 | 0 | 204.23503875732422 | 258785.2268348334
6.3999999999999995 | 15 | 0 | 204.23503875732422 | 258785.24351683338
6.3999999999999995 | 16 | 0 | 204.23503875732422 | 258785.2601988334
6.3999999999999995 | 17 | 0 | 204.23503875732422 | 258785.27688083338
6.3999999999999995 | 18 | 0 | 204.23503875732422 | 258785.2935628334
6.3999999999999995 | 19 | 0 | 204.23503875732422 | 258785.31024483338
6.3999999999999995 | 20 | 0 | 204.23503875732422 | 258785.3269268334
4.3 | 21 | 0 | 204.23503875732422 | 258785.34360883338
4.3 | 22 | 0 | 204.23503875732422 | 258785.3602908334
4.3 | 23 | 0 | 204.23503875732422 | 258785.3769728334
4.3 | 24 | 0 | 204.23503875732422 | 258785.3936548334
4.3 | 25 | 0 | 204.23503875732422 | 258785.4103368334
4.3 | 26 | 0 | 204.23503875732422 | 258785.42701883338
4.3 | 27 | 0 | 204.23503875732422 | 258785.4437008334
4.3 | 28 | 0 | 204.23503875732422 | 258785.46038283338
3.3000000000000003 | 29 | 0 | 204.23503875732422 | 258785.4770648334
3.3000000000000003 | 30 | 0 | 204.23503875732422 | 258785.49374683338
3.3000000000000003 | 31 | 0 | 204.23503875732422 | 258785.5104288334
3.3000000000000003 | 32 | 0 | 204.23503875732422 | 258785.52711083338
3.3000000000000003 | 33 | 0 | 204.23503875732422 | 258785.5437928334
3.3000000000000003 | 34 | 0 | 204.23503875732422 | 258785.5604748334
3.3000000000000003 | 35 | 0 | 204.23503875732422 | 258785.5771568334
3.3000000000000003 | 36 | 0 | 204.23503875732422 | 258785.5938388334
2.7 | 37 | 0 | 204.23503875732422 | 258785.61052083338
2.7 | 38 | 0 | 204.23503875732422 | 258785.6272028334
2.7 | 39 | 0 | 204.23503875732422 | 258785.64388483338
2.7 | 40 | 0 | 204.23503875732422 | 258785.6605668334
2.7 | 41 | 0 | 204.23503875732422 | 258785.67724883338
2.7 | 42 | 0 | 204.23503875732422 | 258785.6939308334
2.7 | 43 | 0 | 204.23503875732422 | 258785.71061283338
2.3 | 44 | 0 | 204.23503875732422 | 258785.7272948334
2.3 | 45 | 0 | 204.23503875732422 | 258785.7439768334
2.3 | 46 | 0 | 204.23503875732422 | 258785.7606588334
2.3 | 47 | 0 | 204.23503875732422 | 258785.7773408334
2.3 | 48 | 0 | 204.23503875732422 | 258785.7940228334
2.3 | 49 | 0 | 204.23503875732422 | 258785.8107048334
2.3 | 50 | 0 | 204.23503875732422 | 258785.82738683338
2.3 | 51 | 0 | 204.23503875732422 | 258785.8440688334
2.0 | 52 | 0 | 204.23503875732422 | 258785.86075083338
2.0 | 53 | 0 | 204.23503875732422 | 258785.8774328334
2.0 | 54 | 0 | 204.23503875732422 | 258785.89411483338
2.0 | 55 | 0 | 204.23503875732422 | 258785.9107968334
2.0 | 56 | 0 | 204.23503875732422 | 258785.9274788334
2.0 | 57 | 0 | 204.23503875732422 | 258785.9441608334
2.0 | 57 | 0 | 204.23503875732422 | 258785.9608428334
2.2 | 58 | 0 | 204.25066375732422 | 258785.9775248334
2.2 | 59 | 0 | 204.26628875732422 | 258785.9942068334
2.2 | 60 | 0 | 204.31316375732422 | 258786.01088883338
2.2 | 60 | 0 | 204.32878875732422 | 258786.0275708334
2.2 | 60 | 0 | 204.37566375732422 | 258786.04425283338
2.2 | 60 | 0 | 204.37566375732422 | 258786.0609348334
2.2 | 61 | 0 | 204.37566375732422 | 258786.0766749584
2.2 | 61 | 0 | 204.37566375732422 | 258786.09334037505
