
--- NEW BENCHMARK RUN ---

CPU | Memory (MB) | Timestamp
---
49.800000000000004 | 62.235084533691406 | 257921.62529312505
31.7 | 62.235084533691406 | 257921.6419838334
31.7 | 62.235084533691406 | 257921.65867454172
31.7 | 62.235084533691406 | 257921.67536525006
31.7 | 62.235084533691406 | 257921.69205595838
31.7 | 62.235084533691406 | 257921.70874666673
31.7 | 62.235084533691406 | 257921.72543737505
31.7 | 62.235084533691406 | 257921.7421280834
20.0 | 62.235084533691406 | 257921.7588187917
20.0 | 62.235084533691406 | 257921.77550950006
20.0 | 62.235084533691406 | 257921.79220020838
20.0 | 62.235084533691406 | 257921.80889091673
20.0 | 62.235084533691406 | 257921.82558162505
20.0 | 62.235084533691406 | 257921.8422723334
20.0 | 62.235084533691406 | 257921.8589630417
20.0 | 62.235084533691406 | 257921.87565375006
12.8 | 62.235084533691406 | 257921.89234445838
12.8 | 62.235084533691406 | 257921.90903516673
12.8 | 62.235084533691406 | 257921.92572587504
12.8 | 62.235084533691406 | 257921.9424165834
12.8 | 62.235084533691406 | 257921.9591072917
12.8 | 64.7350845336914 | 257921.97579800006
12.8 | 64.8600845336914 | 257921.99248870838
23.600000000000005 | 65.0632095336914 | 257922.00917941672
23.600000000000005 | 65.2975845336914 | 257922.02587012504
23.600000000000005 | 65.5944595336914 | 257922.0425608334
23.600000000000005 | 65.9538345336914 | 257922.05925154174
23.600000000000005 | 66.3600845336914 | 257922.07594225006
23.600000000000005 | 68.8757095336914 | 257922.0926329584
23.600000000000005 | 69.2507095336914 | 257922.10932366672
23.600000000000005 | 69.2507095336914 | 257922.12601437507
42.10000000000001 | 69.2507095336914 | 257922.1427050834
42.10000000000001 | 69.2507095336914 | 257922.15939579174
42.10000000000001 | 69.2507095336914 | 257922.17608650005
42.10000000000001 | 69.2507095336914 | 257922.1927772084
42.10000000000001 | 69.2507095336914 | 257922.20946791672
42.10000000000001 | 69.2507095336914 | 257922.22615862507
42.10000000000001 | 69.2507095336914 | 257922.2428493334
26.8 | 69.2507095336914 | 257922.25954004173
26.8 | 69.2507095336914 | 257922.27623075005
26.8 | 69.2507095336914 | 257922.2929214584
26.8 | 69.2507095336914 | 257922.30961216672
26.8 | 69.2507095336914 | 257922.32630287507
26.8 | 69.2507095336914 | 257922.34299358338
26.8 | 69.2507095336914 | 257922.35968429173
26.8 | 69.2507095336914 | 257922.37637500005
16.799999999999997 | 69.2507095336914 | 257922.3930657084
16.799999999999997 | 69.2507095336914 | 257922.40975641672
16.799999999999997 | 69.2507095336914 | 257922.42644712506
16.799999999999997 | 69.2507095336914 | 257922.44313783338
16.799999999999997 | 69.2507095336914 | 257922.45982854173
16.799999999999997 | 69.2507095336914 | 257922.47651925005
16.799999999999997 | 69.2507095336914 | 257922.4932099584
11.0 | 69.2507095336914 | 257922.50990066672
11.0 | 71.7507095336914 | 257922.52659137506
11.0 | 71.9225845336914 | 257922.54328208338
11.0 | 72.1257095336914 | 257922.55997279173
11.0 | 72.3288345336914 | 257922.57666350005
11.0 | 72.5944595336914 | 257922.5933542084
11.0 | 72.9225845336914 | 257922.6100449167
11.0 | 73.3132095336914 | 257922.62673562506
40.8 | 75.6882095336914 | 257922.64342633338
40.8 | 76.3132095336914 | 257922.66011704173
40.8 | 76.3132095336914 | 257922.67680775005
40.8 | 76.3132095336914 | 257922.6934984584
40.8 | 76.3132095336914 | 257922.7101891667
40.8 | 76.3132095336914 | 257922.72687987506
40.8 | 76.3132095336914 | 257922.74357058338
32.6 | 76.3132095336914 | 257922.76026129173
32.6 | 76.3132095336914 | 257922.77695200004
31.3 | 76.2663345336914 | 257922.7936427084
31.3 | 76.2663345336914 | 257922.8103334167
31.3 | 76.2663345336914 | 257922.82702412506
31.3 | 76.2663345336914 | 257922.84371483338
31.3 | 76.2663345336914 | 257922.86040554172
31.3 | 76.2663345336914 | 257922.87709625004
19.8 | 76.2663345336914 | 257922.8937869584
19.8 | 76.2663345336914 | 257922.91047766674
19.8 | 76.2663345336914 | 257922.92716837506
19.8 | 76.2663345336914 | 257922.9438590834
19.8 | 76.2663345336914 | 257922.96054979172
19.8 | 76.2663345336914 | 257922.97724050007
19.8 | 76.2663345336914 | 257922.9939312084
12.500000000000002 | 76.2663345336914 | 257923.01062191674
12.500000000000002 | 76.2663345336914 | 257923.02731262505
12.500000000000002 | 76.2663345336914 | 257923.0440033334
12.500000000000002 | 76.2663345336914 | 257923.06069404172
12.500000000000002 | 76.2663345336914 | 257923.07738475007
12.500000000000002 | 76.2663345336914 | 257923.0940754584
12.500000000000002 | 76.2663345336914 | 257923.11076616673
12.500000000000002 | 76.2663345336914 | 257923.12745687505
8.4 | 76.2663345336914 | 257923.1441475834
8.4 | 78.8600845336914 | 257923.16083829172
8.4 | 79.0788345336914 | 257923.17752900007
8.4 | 79.2819595336914 | 257923.19421970838
8.4 | 79.5163345336914 | 257923.21091041673
8.4 | 79.8132095336914 | 257923.22760112505
8.4 | 80.1725845336914 | 257923.2442918334
37.6 | 82.2975845336914 | 257923.26098254172
37.6 | 83.2038345336914 | 257923.27767325006
37.6 | 83.4694595336914 | 257923.29436395838
37.6 | 83.4694595336914 | 257923.31105466673
37.6 | 83.4694595336914 | 257923.32774537505
37.6 | 83.4694595336914 | 257923.3444360834
37.6 | 83.4694595336914 | 257923.36112679171
37.6 | 83.4850845336914 | 257923.37781750006
32.4 | 83.4850845336914 | 257923.39450820838
32.4 | 83.4850845336914 | 257923.41119891673
32.4 | 83.4850845336914 | 257923.42788962505
