
--- NEW BENCHMARK RUN ---

CPU | FPS | Dropped |Memory (MB) | Timestamp
---
12.799999999999999 | 1 | 0 | 61.735015869140625 | 258677.91443308338
12.799999999999999 | 2 | 0 | 61.797515869140625 | 258677.93111529172
12.799999999999999 | 3 | 0 | 61.797515869140625 | 258677.94779750006
12.799999999999999 | 4 | 0 | 61.860015869140625 | 258677.9644797084
12.799999999999999 | 5 | 0 | 61.875640869140625 | 258677.98116191672
12.799999999999999 | 6 | 0 | 61.922515869140625 | 258677.99784412506
23.100000000000005 | 7 | 0 | 61.985015869140625 | 258678.0145263334
23.100000000000005 | 8 | 0 | 62.031890869140625 | 258678.0312085417
23.100000000000005 | 9 | 0 | 62.110015869140625 | 258678.04789075005
23.100000000000005 | 10 | 0 | 62.110015869140625 | 258678.0645729584
23.100000000000005 | 11 | 0 | 62.141265869140625 | 258678.08125516673
23.100000000000005 | 12 | 0 | 62.078765869140625 | 258678.09793737505
23.100000000000005 | 13 | 0 | 62.078765869140625 | 258678.1146195834
29.1 | 14 | 0 | 62.125640869140625 | 258678.13130179173
29.1 | 15 | 0 | 62.125640869140625 | 258678.14798400007
29.1 | 16 | 0 | 62.172515869140625 | 258678.16466620838
29.1 | 17 | 0 | 62.188140869140625 | 258678.18134841672
29.1 | 18 | 0 | 62.203765869140625 | 258678.19803062506
29.1 | 19 | 0 | 62.250640869140625 | 258678.2147128334
29.1 | 20 | 0 | 62.250640869140625 | 258678.23139504172
29.1 | 21 | 0 | 62.250640869140625 | 258678.24807725006
29.9 | 22 | 0 | 62.250640869140625 | 258678.2647594584
29.9 | 23 | 0 | 62.250640869140625 | 258678.2814416667
29.9 | 24 | 0 | 62.250640869140625 | 258678.29812387505
29.9 | 25 | 0 | 62.250640869140625 | 258678.3148060834
29.9 | 26 | 0 | 62.250640869140625 | 258678.33148829173
29.9 | 27 | 0 | 62.250640869140625 | 258678.34817050004
29.9 | 28 | 0 | 62.250640869140625 | 258678.3648527084
29.9 | 29 | 0 | 62.250640869140625 | 258678.38153491673
21.1 | 30 | 0 | 62.250640869140625 | 258678.3983667084
