100 start | 1744138400.926533
100 end | 1744138400.9372911
100 start | 1744138400.9373078
100 end | 1744138400.946673
100 start | 1744138400.946684
100 end | 1744138400.954877
100 start | 1744138400.954884
100 end | 1744138400.9630141
100 start | 1744138400.963022
100 end | 1744138400.9713979
100 start | 1744138400.971406
100 end | 1744138400.984292
100 start | 1744138400.984301
100 end | 1744138400.992202
100 start | 1744138400.992209
100 end | 1744138401.001679
100 start | 1744138401.001687
100 end | 1744138401.010254
100 start | 1744138401.010263
100 end | 1744138401.019783
100 start | 1744138401.019795
100 end | 1744138401.0300112
100 start | 1744138401.030021
100 end | 1744138401.04148
100 start | 1744138401.04149
100 end | 1744138401.050922
100 start | 1744138401.050929
100 end | 1744138401.060138
100 start | 1744138401.0601459
100 end | 1744138401.069254
100 start | 1744138401.069262
100 end | 1744138401.080192
100 start | 1744138401.080205
100 end | 1744138401.091599
100 start | 1744138401.0916162
100 end | 1744138401.1027498
100 start | 1744138401.102761
100 end | 1744138401.1129851
100 start | 1744138401.112996
100 end | 1744138401.124411
100 start | 1744138401.124425
100 end | 1744138401.135872
100 start | 1744138401.135882
100 end | 1744138401.146337
100 start | 1744138401.146348
100 end | 1744138401.157641
100 start | 1744138401.157649
100 end | 1744138401.1678
100 start | 1744138401.167825
100 end | 1744138401.176835
100 start | 1744138401.176845
100 end | 1744138401.185902
100 start | 1744138401.1859112
100 end | 1744138401.19466
100 start | 1744138401.194668
100 end | 1744138401.204603
100 start | 1744138401.204612
100 end | 1744138401.212986
100 start | 1744138401.212995
100 end | 1744138401.2221231
100 start | 1744138401.2221298
100 end | 1744138401.230442
100 start | 1744138401.230449
100 end | 1744138401.2395248
100 start | 1744138401.239558
100 end | 1744138401.250855
100 start | 1744138401.250863
100 end | 1744138401.2649999
100 start | 1744138401.2650208
100 end | 1744138401.284031
100 start | 1744138401.284159
100 end | 1744138401.308239
100 start | 1744138401.3082619
100 end | 1744138401.32953
100 start | 1744138401.32956
100 end | 1744138401.352601
100 start | 1744138401.3526459
100 end | 1744138401.379024
100 start | 1744138401.3790379
100 end | 1744138401.4002728
100 start | 1744138401.400289
100 end | 1744138401.4672341
100 start | 1744138401.4672751
100 end | 1744138401.54649
100 start | 1744138401.546506
100 end | 1744138401.612993
100 start | 1744138401.6143079
100 end | 1744138401.63557
100 start | 1744138401.635596
100 end | 1744138401.6616101
100 start | 1744138401.661649
100 end | 1744138401.690675
100 start | 1744138401.69071
100 end | 1744138401.73554
100 start | 1744138401.735635
100 end | 1744138401.762021
100 start | 1744138401.762578
100 end | 1744138401.810018
100 start | 1744138401.810058
100 end | 1744138401.847498
100 start | 1744138401.8475142
100 end | 1744138401.870904
100 start | 1744138401.87093
100 end | 1744138401.891643
100 start | 1744138401.8916621
100 end | 1744138401.934506
100 start | 1744138401.93453
100 end | 1744138401.9597359
100 start | 1744138401.9597502
100 end | 1744138401.975977
100 start | 1744138401.975987
100 end | 1744138401.99503
100 start | 1744138401.995049
100 end | 1744138402.013866
100 start | 1744138402.013881
100 end | 1744138402.031872
100 start | 1744138402.031887
100 end | 1744138402.045819
100 start | 1744138402.0458379
100 end | 1744138402.062324
100 start | 1744138402.062334
100 end | 1744138402.0823488
100 start | 1744138402.0823731
100 end | 1744138402.099812
100 start | 1744138402.099824
100 end | 1744138402.11205
100 start | 1744138402.112064
100 end | 1744138402.126096
100 start | 1744138402.126126
100 end | 1744138402.1423821
100 start | 1744138402.142401
100 end | 1744138402.157851
100 start | 1744138402.157864
100 end | 1744138402.171632
100 start | 1744138402.1716561
100 end | 1744138402.185622
100 start | 1744138402.185632
100 end | 1744138402.199946
100 start | 1744138402.199954
100 end | 1744138402.212871
100 start | 1744138402.212879
100 end | 1744138402.2264361
100 start | 1744138402.2264462
100 end | 1744138402.239783
100 start | 1744138402.239811
100 end | 1744138402.255371
100 start | 1744138402.2554932
100 end | 1744138402.268437
100 start | 1744138402.26845
100 end | 1744138402.280686
100 start | 1744138402.280693
100 end | 1744138402.292614
100 start | 1744138402.292646
100 end | 1744138402.305227
100 start | 1744138402.3052359
100 end | 1744138402.3181849
100 start | 1744138402.318194
100 end | 1744138402.3339782
100 start | 1744138402.333986
100 end | 1744138402.349138
100 start | 1744138402.3491468
100 end | 1744138402.361061
100 start | 1744138402.361119
100 end | 1744138402.37157
100 start | 1744138402.371578
100 end | 1744138402.3825312
100 start | 1744138402.382636
100 end | 1744138402.3971028
100 start | 1744138402.397187
100 end | 1744138402.410746
100 start | 1744138402.410769
100 end | 1744138402.42386
100 start | 1744138402.423871
100 end | 1744138402.4350681
100 start | 1744138402.43509
100 end | 1744138402.4509192
100 start | 1744138402.4509501
100 end | 1744138402.469881
100 start | 1744138402.4699569
100 end | 1744138402.5168371
