
--- NEW BENCHMARK RUN ---

CPU | FPS | Delayed frames | Memory (MB) | Timestamp
---
4.0 | 1 | 0 | 10.750572204589844 | 231321.42567929171
14.4 | 2 | 3 | 28.266197204589844 | 231321.50009945838
14.4 | 3 | 0 | 27.891197204589844 | 231321.5254609584
14.4 | 4 | 0 | 27.891197204589844 | 231321.54213287504
14.4 | 5 | 0 | 27.891197204589844 | 231321.5588047917
14.4 | 6 | 0 | 27.891197204589844 | 231321.57547670839
14.4 | 7 | 0 | 27.875572204589844 | 231321.59214862506
14.4 | 8 | 0 | 27.875572204589844 | 231321.6088205417
9.6 | 9 | 0 | 27.875572204589844 | 231321.62549245838
9.6 | 10 | 0 | 27.875572204589844 | 231321.64216437505
9.6 | 11 | 0 | 27.875572204589844 | 231321.65883629172
9.6 | 12 | 0 | 27.875572204589844 | 231321.6755082084
9.6 | 13 | 0 | 27.875572204589844 | 231321.69218012504
9.6 | 14 | 0 | 27.719322204589844 | 231321.70885204172
9.6 | 15 | 0 | 27.719322204589844 | 231321.7255239584
9.6 | 16 | 0 | 27.719322204589844 | 231321.74219587506
6.6 | 17 | 0 | 27.719322204589844 | 231321.7588677917
6.6 | 18 | 0 | 27.719322204589844 | 231321.77553970838
6.6 | 19 | 0 | 27.719322204589844 | 231321.79221162506
6.6 | 20 | 0 | 27.719322204589844 | 231321.80888354173
6.6 | 21 | 0 | 27.719322204589844 | 231321.82555545837
6.6 | 22 | 0 | 27.703697204589844 | 231321.84222737505
6.6 | 23 | 0 | 27.703697204589844 | 231321.85889929172
6.6 | 24 | 0 | 27.703697204589844 | 231321.8755712084
4.7 | 25 | 0 | 27.703697204589844 | 231321.89224312504
4.7 | 26 | 0 | 27.703697204589844 | 231321.9089150417
4.7 | 27 | 0 | 27.703697204589844 | 231321.9255869584
4.7 | 28 | 0 | 27.703697204589844 | 231321.94225887506
4.7 | 29 | 0 | 27.703697204589844 | 231321.9589307917
4.7 | 30 | 0 | 27.703697204589844 | 231321.97560270838
4.7 | 31 | 0 | 27.703697204589844 | 231321.99227462505
3.5000000000000004 | 32 | 0 | 27.703697204589844 | 231322.00894654173
3.5000000000000004 | 33 | 0 | 27.703697204589844 | 231322.02561845837
3.5000000000000004 | 34 | 0 | 27.703697204589844 | 231322.04229037504
3.5000000000000004 | 35 | 0 | 27.703697204589844 | 231322.05896229172
3.5000000000000004 | 36 | 0 | 27.703697204589844 | 231322.0756342084
3.5000000000000004 | 37 | 0 | 27.703697204589844 | 231322.09230612507
3.5000000000000004 | 38 | 0 | 27.703697204589844 | 231322.1089780417
3.5000000000000004 | 39 | 0 | 27.703697204589844 | 231322.12564995838
2.8000000000000003 | 40 | 0 | 27.703697204589844 | 231322.14232187506
2.8000000000000003 | 41 | 0 | 27.703697204589844 | 231322.15899379173
2.8000000000000003 | 42 | 0 | 27.703697204589844 | 231322.17566570838
2.8000000000000003 | 43 | 0 | 27.703697204589844 | 231322.19233762505
2.8000000000000003 | 44 | 0 | 27.703697204589844 | 231322.20900954172
2.8000000000000003 | 45 | 0 | 27.703697204589844 | 231322.2256814584
2.8000000000000003 | 46 | 0 | 27.703697204589844 | 231322.24235337504
2.2 | 47 | 0 | 27.703697204589844 | 231322.2590252917
2.2 | 48 | 0 | 27.703697204589844 | 231322.2756972084
2.2 | 49 | 0 | 27.703697204589844 | 231322.29236912506
2.2 | 50 | 0 | 27.703697204589844 | 231322.3090410417
2.2 | 51 | 0 | 27.703697204589844 | 231322.32571295838
2.2 | 52 | 0 | 27.703697204589844 | 231322.34238487505
2.2 | 53 | 0 | 27.703697204589844 | 231322.35905679173
