KMP Visibility Benchmark
CPU | FPS | Frame Overrun (ms)| Memory (MB) | Timestamp
---
6.7 | 1 | 0.0 | 232.57892608642578 | 108532.89632000003
6.7 | 2 | -0.012000007942939567 | 232.62580108642578 | 108532.91297466669
6.7 | 3 | -0.011999993391024338 | 232.65705108642578 | 108532.92962933336
22.800000000000004 | 4 | -0.012000007942939567 | 232.73517608642578 | 108532.94628400002
22.800000000000004 | 5 | -0.011999993391024338 | 232.75080108642578 | 108532.9629386667
22.800000000000004 | 6 | -0.012000007942939567 | 232.78205108642578 | 108532.97959333335
22.800000000000004 | 7 | -0.011999993391024338 | 232.79767608642578 | 108532.99624800002
22.800000000000004 | 8 | -0.012000007942939567 | 232.82892608642578 | 108533.01290266668
22.800000000000004 | 9 | -0.011999993391024338 | 232.87580108642578 | 108533.02955733336
22.800000000000004 | 10 | -0.011999993391024338 | 232.89142608642578 | 108533.04621200003
22.800000000000004 | 11 | -0.012000007942939567 | 232.95392608642578 | 108533.06286666669
27.1 | 12 | -0.011999993391024338 | 232.96955108642578 | 108533.07952133336
27.1 | 13 | -0.012000007942939567 | 232.96955108642578 | 108533.09617600002
27.1 | 14 | 0.12274999947597606 | 233.00080108642578 | 108533.11296541669
27.1 | 15 | -0.01070833629152404 | 233.03205108642578 | 108533.12962137502
27.1 | 16 | -0.010708321739608812 | 233.04767608642578 | 108533.14627733336
27.1 | 17 | -0.01070833629152404 | 233.06330108642578 | 108533.1629332917
27.1 | 18 | -0.01070833629152404 | 233.07892608642578 | 108533.17958925002
32.00000000000001 | 19 | -0.01070833629152404 | 233.11017608642578 | 108533.19624520835
32.00000000000001 | 20 | -0.01070833629152404 | 233.12580108642578 | 108533.21290116668
32.00000000000001 | 21 | -0.010708321739608812 | 233.12580108642578 | 108533.22955712503
32.00000000000001 | 22 | -0.01070833629152404 | 233.09455108642578 | 108533.24621308336
32.00000000000001 | 23 | -0.01070833629152404 | 201.28205108642578 | 108533.26286904169
32.00000000000001 | 24 | -0.01070833629152404 | 201.28205108642578 | 108533.27952500002
32.00000000000001 | 25 | -0.01070833629152404 | 201.29767608642578 | 108533.29618095835
32.00000000000001 | 26 | -0.010708321739608812 | 201.29767608642578 | 108533.3128369167
41.400000000000006 | 27 | -0.01070833629152404 | 201.29767608642578 | 108533.32949287503
41.400000000000006 | 28 | -0.01070833629152404 | 201.31330108642578 | 108533.34614883336
41.400000000000006 | 29 | -0.01070833629152404 | 201.31330108642578 | 108533.36280479169
41.400000000000006 | 30 | -0.01070833629152404 | 201.31330108642578 | 108533.37946075002
41.400000000000006 | 31 | -0.010708321739608812 | 201.32892608642578 | 108533.39611670836
41.400000000000006 | 32 | -0.01070833629152404 | 201.34455108642578 | 108533.41277266669
41.400000000000006 | 33 | -0.01070833629152404 | 201.34455108642578 | 108533.42942862502
38.699999999999996 | 34 | -0.01070833629152404 | 201.34455108642578 | 108533.44608458335
38.699999999999996 | 35 | 0.1291250043626256 | 201.36017608642578 | 108533.46288037502
38.699999999999996 | 36 | -0.0071249999261148445 | 201.36017608642578 | 108533.47953991669
38.699999999999996 | 37 | -0.0071249999261148445 | 201.36017608642578 | 108533.49619945836
38.699999999999996 | 38 | -0.0071249999261148445 | 201.37580108642578 | 108533.51285900002
38.699999999999996 | 39 | -0.0071249999261148445 | 201.37580108642578 | 108533.52951854169
38.699999999999996 | 40 | -0.0071249999261148445 | 201.37580108642578 | 108533.54617808336
38.699999999999996 | 41 | -0.0071249999261148445 | 201.39142608642578 | 108533.56283762502
41.099999999999994 | 42 | -0.0071249999261148445 | 201.40705108642578 | 108533.57949716669
41.099999999999994 | 43 | -0.0071249999261148445 | 201.42267608642578 | 108533.59615670836
41.099999999999994 | 44 | -0.0071249999261148445 | 201.42267608642578 | 108533.61281625002
41.099999999999994 | 45 | -0.0071249999261148445 | 201.45392608642578 | 108533.62947579169
41.099999999999994 | 46 | -0.0071249999261148445 | 201.45392608642578 | 108533.64613533336
41.099999999999994 | 47 | -0.0071249999261148445 | 201.45392608642578 | 108533.66279487502
41.099999999999994 | 48 | -0.0071249999261148445 | 201.46955108642578 | 108533.67945441669
44.099999999999994 | 49 | -0.0071249999261148445 | 201.46955108642578 | 108533.69611395836
44.099999999999994 | 50 | -0.0071249999261148445 | 201.46955108642578 | 108533.71277350002
44.099999999999994 | 51 | -0.0071249999261148445 | 201.48517608642578 | 108533.72943304169
44.099999999999994 | 52 | -0.0071249999261148445 | 201.50080108642578 | 108533.74609258336
44.099999999999994 | 53 | -0.0071249999261148445 | 201.50080108642578 | 108533.76275212503
44.099999999999994 | 54 | -0.0071249999261148445 | 201.50080108642578 | 108533.77941166669
44.099999999999994 | 55 | 0.12958333148465825 | 201.53205108642578 | 108533.79620791669
44.099999999999994 | 56 | -0.004833335212121176 | 201.53205108642578 | 108533.81286975002
44.099999999999994 | 57 | -0.004833335212121176 | 201.53205108642578 | 108533.82953158335
44.099999999999994 | 58 | -0.004833335212121176 | 201.56330108642578 | 108533.84619341668
44.099999999999994 | 59 | -0.0048333206602059475 | 201.56330108642578 | 108533.86285525003
44.099999999999994 | 60 | -0.004833335212121176 | 201.59455108642578 | 108533.87951708336
44.099999999999994 | 61 | -0.004833335212121176 | 201.61017608642578 | 108533.8961789167
44.099999999999994 | 61 | -0.004833335212121176 | 201.62580108642578 | 108533.91284075002
44.099999999999994 | 61 | -0.004833335212121176 | 201.64142608642578 | 108533.92950258336
44.800000000000004 | 61 | -0.004833335212121176 | 201.65705108642578 | 108533.94616441669
