
CPU | Memory (MB) | Timestamp
---
55.6 | 177.1726531982422 | 381855.0661391251
55.6 | 187.1726531982422 | 381855.08279616677
55.6 | 197.18830108642578 | 381855.09945320844
55.6 | 207.18830108642578 | 381855.11611025006
55.6 | 217.18830108642578 | 381855.13276729174
46.6 | 227.20394897460938 | 381855.1494243334
46.6 | 237.20394897460938 | 381855.1660813751
46.6 | 247.20394897460938 | 381855.18273841677
46.6 | 257.21959686279297 | 381855.1993954584
46.6 | 265.95397186279297 | 381855.21605250007
46.6 | 267.96959686279297 | 381855.23270954174
46.6 | 267.96959686279297 | 381855.2493665834
46.6 | 267.96959686279297 | 381855.2660236251
36.7 | 267.96959686279297 | 381855.2826806668
36.7 | 280.65709686279297 | 381855.2993377084
36.7 | 297.98524475097656 | 381855.31599475007
36.7 | 307.98524475097656 | 381855.33265179174
36.7 | 328.00089263916016 | 381855.3493088334
36.7 | 338.39151763916016 | 381855.3659658751
36.7 | 348.87589263916016 | 381855.3826229168
37.50000000000001 | 359.04779052734375 | 381855.3992799584
37.50000000000001 | 379.09466552734375 | 381855.41593700007
37.50000000000001 | 389.11031341552734 | 381855.43259404175
37.50000000000001 | 399.11031341552734 | 381855.4492510834
37.50000000000001 | 399.11031341552734 | 381855.4659081251
37.50000000000001 | 409.11031341552734 | 381855.4825651668
37.50000000000001 | 419.12596130371094 | 381855.4992222084
37.50000000000001 | 429.12596130371094 | 381855.5158792501
35.3 | 439.12596130371094 | 381855.53253629175
35.3 | 449.14160919189453 | 381855.5491933334
35.3 | 459.14160919189453 | 381855.5658503751
35.0 | 469.11035919189453 | 381855.5825074167
35.0 | 479.11035919189453 | 381855.5991644584
35.0 | 489.0791320800781 | 381855.6158215001
35.0 | 499.0791320800781 | 381855.63247854175
32.3 | 509.0791320800781 | 381855.64913558343
32.3 | 509.0791320800781 | 381855.6657926251
32.3 | 519.0947799682617 | 381855.6824496667
32.3 | 519.0947799682617 | 381855.6991067084
32.3 | 519.0947799682617 | 381855.7157637501
32.3 | 519.0947799682617 | 381855.73242079176
32.3 | 529.0947799682617 | 381855.74907783343
32.3 | 549.0166778564453 | 381855.7657348751
28.3 | 558.4698028564453 | 381855.7823919167
28.3 | 569.0166778564453 | 381855.7990489584
28.3 | 579.0479507446289 | 381855.8157060001
28.3 | 589.0479507446289 | 381855.83236304176
28.3 | 599.0479507446289 | 381855.84902008343
28.3 | 599.4229507446289 | 381855.8656771251
28.3 | 609.0635986328125 | 381855.88233416673
31.7 | 619.0635986328125 | 381855.8989912084
31.7 | 629.0635986328125 | 381855.9156482501
31.7 | 639.0635986328125 | 381855.93230529176
31.7 | 639.0635986328125 | 381855.94896233344
31.7 | 649.0792236328125 | 381855.96561937506
31.7 | 649.0792236328125 | 381855.98227641673
31.7 | 649.0792236328125 | 381855.9989334584
31.7 | 649.0792236328125 | 381856.0155905001
27.400000000000002 | 669.0948715209961 | 381856.03224754176
27.400000000000002 | 679.0948715209961 | 381856.04890458344
27.400000000000002 | 699.1261444091797 | 381856.06556162506
27.400000000000002 | 709.1261444091797 | 381856.08221866674
27.400000000000002 | 719.1417694091797 | 381856.0988757084
27.400000000000002 | 729.1574172973633 | 381856.1155327501
27.400000000000002 | 729.1574172973633 | 381856.13218979177
32.7 | 739.1574172973633 | 381856.14884683344
32.7 | 749.1574172973633 | 381856.16550387506
32.7 | 759.1730651855469 | 381856.18216091674
32.7 | 759.1730651855469 | 381856.1988179584
32.7 | 759.1730651855469 | 381856.2154750001
32.7 | 759.1730651855469 | 381856.23213204177
32.7 | 759.1730651855469 | 381856.24878908345
32.7 | 779.2043151855469 | 381856.26544612506
27.500000000000004 | 789.2199630737305 | 381856.28210316674
27.500000000000004 | 799.2355880737305 | 381856.2987602084
27.500000000000004 | 819.2512359619141 | 381856.3154172501
27.500000000000004 | 839.2512359619141 | 381856.3320742918
27.500000000000004 | 849.2668838500977 | 381856.3487313334
27.500000000000004 | 859.2668838500977 | 381856.36538837507
27.500000000000004 | 869.2668838500977 | 381856.38204541674
33.5 | 879.2668838500977 | 381856.3987024584
33.5 | 889.2825317382812 | 381856.4153595001
33.5 | 899.2825317382812 | 381856.4320165418
33.5 | 899.2825317382812 | 381856.4486735834
33.5 | 899.2825317382812 | 381856.46533062507
33.5 | 899.2825317382812 | 381856.48198766675
33.5 | 899.2825317382812 | 381856.4986447084
33.5 | 909.2825317382812 | 381856.5153017501
26.900000000000002 | 919.2981796264648 | 381856.5319587918
26.900000000000002 | 929.2981796264648 | 381856.5486158334
26.900000000000002 | 939.2981796264648 | 381856.5652728751
26.900000000000002 | 959.3138275146484 | 381856.58192991675
26.900000000000002 | 979.345100402832 | 381856.5985869584
26.900000000000002 | 999.345100402832 | 381856.6152440001
26.900000000000002 | 1009.3607482910156 | 381856.6319010418
35.00000000000001 | 1019.3607482910156 | 381856.6485580834
35.00000000000001 | 1029.3607482910156 | 381856.6652151251
35.00000000000001 | 1039.3607482910156 | 381856.68187216675
35.00000000000001 | 1049.3763961791992 | 381856.6985292084
35.00000000000001 | 1059.3763961791992 | 381856.7151862501
35.00000000000001 | 1069.3138961791992 | 381856.7318432917
