Native Scroll Benchmark
CPU | FPS | Frame Overrun (ms)| Memory (MB) | Timestamp
---
5.0 | 1 | 0.0 | 40.70374298095703 | 804.9933520416669
5.0 | 2 | 7.336458333255299 | 40.68811798095703 | 805.0173551666668
5.0 | 3 | -3.4631666666352126 | 40.68811798095703 | 805.0305586666668
23.7 | 4 | -4.1666695930336894e-05 | 40.73499298095703 | 805.0472252916668
23.7 | 5 | -4.166658224349917e-05 | 41.06311798095703 | 805.0638919166669
23.7 | 6 | -4.1666695930336894e-05 | 41.10999298095703 | 805.0805585416668
23.7 | 7 | -4.1666695930336894e-05 | 41.14124298095703 | 805.0972251666668
23.7 | 8 | -4.1666695930336894e-05 | 41.18811798095703 | 805.1138917916668
23.7 | 9 | -4.166658224349917e-05 | 41.21936798095703 | 805.1305584166669
23.7 | 10 | -4.1666695930336894e-05 | 41.23499298095703 | 805.1472250416668
20.9 | 11 | -4.1666695930336894e-05 | 41.26624298095703 | 805.1638916666668
20.9 | 12 | -4.166658224349917e-05 | 41.31311798095703 | 805.1805582916669
20.9 | 13 | -4.1666695930336894e-05 | 41.31311798095703 | 805.1972249166669
20.9 | 14 | -4.1666695930336894e-05 | 41.39124298095703 | 805.2138915416668
20.9 | 15 | -4.1666695930336894e-05 | 41.39124298095703 | 805.2305581666668
20.9 | 16 | -4.166658224349917e-05 | 41.43811798095703 | 805.2472247916669
20.9 | 17 | -4.1666695930336894e-05 | 41.45374298095703 | 805.2638914166669
20.9 | 18 | -4.1666695930336894e-05 | 41.46936798095703 | 805.2805580416668
17.2 | 19 | -4.1666695930336894e-05 | 41.57874298095703 | 805.2972246666668
17.2 | 20 | -4.166658224349917e-05 | 41.60999298095703 | 805.3138912916669
17.2 | 21 | -4.1666695930336894e-05 | 41.62561798095703 | 805.3305579166669
17.2 | 22 | -4.1666695930336894e-05 | 41.65686798095703 | 805.3472245416668
17.2 | 23 | -4.1666695930336894e-05 | 41.70374298095703 | 805.3638911666668
17.2 | 24 | -4.166658224349917e-05 | 41.75061798095703 | 805.3805577916669
17.2 | 25 | -4.1666695930336894e-05 | 41.78186798095703 | 805.3972244166669
16.9 | 26 | -4.1666695930336894e-05 | 41.81311798095703 | 805.4138910416668
16.9 | 27 | -4.1666695930336894e-05 | 41.87561798095703 | 805.4305576666668
16.9 | 28 | -4.166658224349917e-05 | 41.89124298095703 | 805.4472242916669
16.9 | 29 | -4.1666695930336894e-05 | 41.93811798095703 | 805.4638909166669
16.9 | 30 | -4.1666695930336894e-05 | 41.93811798095703 | 805.4805575416668
16.9 | 31 | -4.1666695930336894e-05 | 41.98499298095703 | 805.4972241666668
16.9 | 32 | -4.166658224349917e-05 | 42.18811798095703 | 805.5138907916669
16.9 | 33 | -0.647166666696345 | 42.32874298095703 | 805.5299102916669
24.8 | 34 | -0.020916666714280302 | 42.64124298095703 | 805.5465560416668
24.8 | 35 | -0.020916666600593464 | 42.81311798095703 | 805.5632017916669
24.8 | 36 | -0.020916666714280302 | 43.00061798095703 | 805.5798475416668
24.8 | 37 | -0.020916666600593464 | 43.14124298095703 | 805.5964932916669
24.8 | 38 | -0.020916666714280302 | 43.32874298095703 | 805.6131390416668
24.8 | 39 | -0.020916666714280302 | 43.40686798095703 | 805.6297847916668
24.8 | 40 | -0.020916666600593464 | 43.40686798095703 | 805.6464305416669
24.8 | 41 | -0.020916666714280302 | 43.48499298095703 | 805.6630762916668
38.9 | 42 | -0.020916666600593464 | 43.53186798095703 | 805.6797220416669
38.9 | 43 | -0.020916666714280302 | 43.59436798095703 | 805.6963677916668
38.9 | 44 | -0.020916666600593464 | 43.62561798095703 | 805.7130135416669
38.9 | 45 | 0.13570833333081608 | 43.65686798095703 | 805.7298159166669
38.9 | 46 | -0.00975000001896334 | 44.70374298095703 | 805.7464728333335
38.9 | 47 | -0.00975000001896334 | 44.67249298095703 | 805.7631297500002
38.9 | 48 | -0.00975000001896334 | 44.60999298095703 | 805.7797866666668
35.5 | 49 | -0.00975000001896334 | 44.51624298095703 | 805.7964435833335
35.5 | 50 | -0.00975000001896334 | 44.42249298095703 | 805.8131005000001
35.5 | 51 | -0.009749999905276502 | 44.54749298095703 | 805.8297574166669
35.5 | 52 | -0.00975000001896334 | 44.60999298095703 | 805.8464143333335
35.5 | 53 | -0.00975000001896334 | 44.73499298095703 | 805.8630712500002
35.5 | 54 | -0.00975000001896334 | 44.92249298095703 | 805.8797281666668
35.5 | 55 | -0.00975000001896334 | 45.03186798095703 | 805.8963850833335
35.5 | 56 | -0.00975000001896334 | 45.06311798095703 | 805.9130420000001
38.1 | 57 | -0.009749999905276502 | 45.10999298095703 | 805.9296989166669
38.1 | 58 | -0.00975000001896334 | 45.17249298095703 | 805.9463558333335
38.1 | 59 | -0.00975000001896334 | 45.23499298095703 | 805.9630127500002
38.1 | 60 | -0.00975000001896334 | 45.28186798095703 | 805.9796696666668
38.1 | 60 | -0.00975000001896334 | 45.29749298095703 | 805.9963265833335
38.1 | 61 | -0.00975000001896334 | 45.35999298095703 | 806.0129835000001
38.1 | 61 | -0.009749999905276502 | 45.43811798095703 | 806.0296404166669
40.800000000000004 | 61 | -0.00975000001896334 | 45.46936798095703 | 806.0462973333335
40.800000000000004 | 61 | -0.00975000001896334 | 45.48499298095703 | 806.0629542500002
40.800000000000004 | 61 | -0.00975000001896334 | 45.50061798095703 | 806.0796111666668
40.800000000000004 | 61 | -0.00975000001896334 | 45.45374298095703 | 806.0962680833335
40.800000000000004 | 61 | -0.00975000001896334 | 45.37561798095703 | 806.1129250000001
