100 start | 1744138384.2387118
100 end | 1744138384.252236
100 start | 1744138384.252245
100 end | 1744138384.264834
100 start | 1744138384.264847
100 end | 1744138384.277298
100 start | 1744138384.277306
100 end | 1744138384.29312
100 start | 1744138384.2931309
100 end | 1744138384.315512
100 start | 1744138384.315517
100 end | 1744138384.357614
100 start | 1744138384.357624
100 end | 1744138384.402224
100 start | 1744138384.40223
100 end | 1744138384.41883
100 start | 1744138384.418838
100 end | 1744138384.442457
100 start | 1744138384.4424648
100 end | 1744138384.459939
100 start | 1744138384.459947
100 end | 1744138384.481812
100 start | 1744138384.481818
100 end | 1744138384.5003529
100 start | 1744138384.500361
100 end | 1744138384.568954
100 start | 1744138384.5689669
100 end | 1744138384.577291
100 start | 1744138384.577299
100 end | 1744138384.585689
100 start | 1744138384.5856972
100 end | 1744138384.594294
100 start | 1744138384.594305
100 end | 1744138384.6037688
100 start | 1744138384.603781
100 end | 1744138384.611696
100 start | 1744138384.611703
100 end | 1744138384.619481
100 start | 1744138384.619488
100 end | 1744138384.6286669
100 start | 1744138384.628674
100 end | 1744138384.6380239
100 start | 1744138384.6380339
100 end | 1744138384.651895
100 start | 1744138384.651901
100 end | 1744138384.66741
100 start | 1744138384.667417
100 end | 1744138384.6846972
100 start | 1744138384.6847038
100 end | 1744138384.704307
100 start | 1744138384.7043161
100 end | 1744138384.7206879
100 start | 1744138384.720695
100 end | 1744138384.739213
100 start | 1744138384.739221
100 end | 1744138384.7541041
100 start | 1744138384.754109
100 end | 1744138384.771737
100 start | 1744138384.771743
100 end | 1744138384.7880158
100 start | 1744138384.788022
100 end | 1744138384.880556
100 start | 1744138384.880571
100 end | 1744138384.889533
100 start | 1744138384.889542
100 end | 1744138384.899606
100 start | 1744138384.899616
100 end | 1744138384.9085941
100 start | 1744138384.908602
100 end | 1744138384.916513
100 start | 1744138384.91652
100 end | 1744138384.9246202
100 start | 1744138384.924632
100 end | 1744138384.932095
100 start | 1744138384.932102
100 end | 1744138384.9935741
100 start | 1744138384.9935799
100 end | 1744138385.179487
100 start | 1744138385.179497
100 end | 1744138385.192589
100 start | 1744138385.192597
100 end | 1744138385.546807
100 start | 1744138385.5468168
100 end | 1744138385.580961
100 start | 1744138385.5809689
100 end | 1744138385.593501
100 start | 1744138385.593509
100 end | 1744138386.106688
100 start | 1744138386.106704
100 end | 1744138386.227179
100 start | 1744138386.227189
100 end | 1744138386.243393
100 start | 1744138386.2434049
100 end | 1744138386.333003
100 start | 1744138386.333012
100 end | 1744138386.3491092
100 start | 1744138386.349115
100 end | 1744138386.538846
100 start | 1744138386.538855
100 end | 1744138386.719151
100 start | 1744138386.719182
100 end | 1744138386.735817
100 start | 1744138386.7358341
100 end | 1744138386.7468848
100 start | 1744138386.746897
100 end | 1744138386.757701
100 start | 1744138386.757714
100 end | 1744138386.930725
100 start | 1744138386.9307342
100 end | 1744138386.94418
100 start | 1744138386.944188
100 end | 1744138387.074995
100 start | 1744138387.075001
100 end | 1744138387.14685
100 start | 1744138387.146863
100 end | 1744138387.219281
100 start | 1744138387.2192922
100 end | 1744138387.2988229
100 start | 1744138387.298836
100 end | 1744138387.370878
100 start | 1744138387.370888
100 end | 1744138387.443067
100 start | 1744138387.4430761
100 end | 1744138387.515081
100 start | 1744138387.515088
100 end | 1744138387.6005778
100 start | 1744138387.600589
100 end | 1744138387.675322
100 start | 1744138387.675332
100 end | 1744138387.751289
100 start | 1744138387.751299
100 end | 1744138387.8267012
100 start | 1744138387.8267112
100 end | 1744138388.0933762
100 start | 1744138388.093415
100 end | 1744138388.180429
100 start | 1744138388.180439
100 end | 1744138388.206341
100 start | 1744138388.206351
100 end | 1744138388.231195
100 start | 1744138388.2312021
100 end | 1744138388.258062
100 start | 1744138388.258068
100 end | 1744138388.289946
100 start | 1744138388.289952
100 end | 1744138388.337374
100 start | 1744138388.3373818
100 end | 1744138388.865172
100 start | 1744138388.865207
100 end | 1744138388.8878698
100 start | 1744138388.887909
100 end | 1744138388.9030252
100 start | 1744138388.903051
100 end | 1744138388.915195
100 start | 1744138388.9152122
100 end | 1744138388.926458
100 start | 1744138388.926475
100 end | 1744138389.005538
100 start | 1744138389.005548
100 end | 1744138389.108613
100 start | 1744138389.108624
100 end | 1744138389.541395
100 start | 1744138389.541446
100 end | 1744138389.570195
100 start | 1744138389.570229
100 end | 1744138389.585242
100 start | 1744138389.585258
100 end | 1744138389.597783
100 start | 1744138389.5978022
100 end | 1744138389.6085649
100 start | 1744138389.608582
100 end | 1744138389.656889
100 start | 1744138389.6569061
100 end | 1744138389.7184958
100 start | 1744138389.7185059
100 end | 1744138389.773623
100 start | 1744138389.773631
100 end | 1744138389.8069339
100 start | 1744138389.806942
100 end | 1744138389.8475041
