
--- NEW BENCHMARK RUN ---

CPU | Memory (MB) | Timestamp
---
30.2 | 1177.5482711791992 | 307837.0814400834
30.2 | 1191.2357711791992 | 307837.11475441675
30.2 | 1205.8139190673828 | 307837.1314115834
30.2 | 1221.8139190673828 | 307837.14806875004
30.2 | 1238.3608169555664 | 307837.16472591675
30.2 | 1253.6264419555664 | 307837.1813830834
30.2 | 1266.3451919555664 | 307837.19804025005
31.6 | 1275.75146484375 | 307837.21469741676
31.6 | 1292.00146484375 | 307837.2313545834
31.6 | 1307.3764877319336 | 307837.24801175005
31.6 | 1321.6264877319336 | 307837.26466891676
31.6 | 1335.8921356201172 | 307837.2813260834
31.6 | 1350.8921356201172 | 307837.29798325006
31.6 | 1362.4077606201172 | 307837.3146404167
30.3 | 1373.9234085083008 | 307837.3312975834
30.3 | 1386.4234085083008 | 307837.34795475006
30.3 | 1396.4390563964844 | 307837.3646119167
30.3 | 1407.9390563964844 | 307837.3812690834
30.3 | 1418.6890563964844 | 307837.39792625007
30.3 | 1430.017204284668 | 307837.4145834167
30.3 | 1441.267204284668 | 307837.4312405834
30.3 | 1452.454704284668 | 307837.4475574584
29.4 | 1462.470329284668 | 307837.46420975006
29.4 | 1475.470329284668 | 307837.48086204176
29.4 | 1486.4859771728516 | 307837.4975143334
29.4 | 1498.4859771728516 | 307837.51416662504
29.4 | 1510.3141021728516 | 307837.53081891674
29.4 | 1522.5016250610352 | 307837.5474712084
29.4 | 1534.5016250610352 | 307837.5641235001
27.8 | 1544.5016250610352 | 307837.5807757917
27.8 | 1555.7047729492188 | 307837.5974280834
27.8 | 1564.5328979492188 | 307837.61408037506
27.8 | 1571.2828979492188 | 307837.63073266676
27.8 | 1580.5485458374023 | 307837.6473849584
27.2 | 274.2820510864258 | 307838.18979679176
45.900000000000006 | 186.0944595336914 | 307838.21356287505
45.900000000000006 | 198.110107421875 | 307838.23021516675
45.900000000000006 | 208.110107421875 | 307838.2468674584
45.900000000000006 | 216.110107421875 | 307838.2635197501
45.900000000000006 | 226.110107421875 | 307838.28017204173
45.900000000000006 | 236.1257553100586 | 307838.2968243334
45.900000000000006 | 246.1257553100586 | 307838.3134766251
34.9 | 258.1257553100586 | 307838.3301289167
34.9 | 266.1257553100586 | 307838.3467812084
34.9 | 276.1414031982422 | 307838.36343350005
34.9 | 286.1414031982422 | 307838.38008579175
34.9 | 298.1414031982422 | 307838.3967380834
34.9 | 309.5633010864258 | 307838.4133903751
34.9 | 320.1883010864258 | 307838.43004266673
34.9 | 332.1570510864258 | 307838.4466949584
31.300000000000004 | 343.2039489746094 | 307838.4633472501
31.300000000000004 | 354.1726989746094 | 307838.4799995417
31.300000000000004 | 366.1726989746094 | 307838.4966518334
31.300000000000004 | 376.18834686279297 | 307838.51330412505
31.300000000000004 | 388.18834686279297 | 307838.52995641675
31.300000000000004 | 400.18834686279297 | 307838.5466087084
31.300000000000004 | 412.20399475097656 | 307838.5632610001
30.300000000000004 | 406.98524475097656 | 307838.57991329173
30.300000000000004 | 417.86026763916016 | 307838.59656558343
30.300000000000004 | 435.00089263916016 | 307838.6155400001
30.300000000000004 | 449.01654052734375 | 307838.63222454174
30.300000000000004 | 465.01654052734375 | 307838.6489090834
30.300000000000004 | 479.03218841552734 | 307838.66559362505
30.300000000000004 | 492.09468841552734 | 307838.68227816676
30.300000000000004 | 504.93843841552734 | 307838.6989627084
30.8 | 519.5478363037109 | 307838.7154739584
30.8 | 534.5478363037109 | 307838.73213812505
30.8 | 548.5634841918945 | 307838.74880229175
30.8 | 561.0634841918945 | 307838.7654664584
30.8 | 578.0791320800781 | 307838.78213062504
30.8 | 593.0478820800781 | 307838.79879479174
30.8 | 609.0947799682617 | 307838.8154589584
32.3 | 623.0479049682617 | 307838.8321231251
32.3 | 639.7979278564453 | 307838.84878729173
32.3 | 656.6729278564453 | 307838.8654514584
32.3 | 671.8135757446289 | 307838.8819672501
32.3 | 688.3135757446289 | 307838.8986231667
32.3 | 704.2667236328125 | 307838.9152790834
32.3 | 719.8292236328125 | 307838.93193500006
32.3 | 735.3448715209961 | 307838.94859091676
33.3 | 752.3448715209961 | 307838.9652468334
33.3 | 767.8761444091797 | 307838.9819027501
33.3 | 784.8761444091797 | 307838.99855866673
33.3 | 802.3917922973633 | 307839.0152145834
33.3 | 817.1261672973633 | 307839.03187050007
33.3 | 831.4074401855469 | 307839.0485264167
33.3 | 847.4699401855469 | 307839.0651823334
34.6 | 863.4230880737305 | 307839.08183825004
34.6 | 880.9230880737305 | 307839.09849416674
34.6 | 896.9387359619141 | 307839.1151500834
34.6 | 913.5481109619141 | 307839.1318060001
34.6 | 930.5637588500977 | 307839.1484619167
34.6 | 946.7825088500977 | 307839.1651178334
34.6 | 962.9700317382812 | 307839.18177375005
34.6 | 980.4544067382812 | 307839.19842966675
36.3 | 997.9856796264648 | 307839.2150855834
36.3 | 1015.3606796264648 | 307839.2317415001
36.3 | 1030.7513275146484 | 307839.2483974167
36.3 | 1043.0013275146484 | 307839.2650533334
36.3 | 1056.016975402832 | 307839.28170925006
36.3 | 1068.516975402832 | 307839.29836516676
36.3 | 1080.766975402832 | 307839.3150210834
34.8 | 1089.9701232910156 | 307839.3316770001
34.8 | 1105.6732482910156 | 307839.34833291674
34.8 | 1118.7826232910156 | 307839.3649888334
34.8 | 1132.0482711791992 | 307839.3816447501
34.8 | 1149.0482711791992 | 307839.3983006667
34.8 | 1165.1420440673828 | 307839.4149565834
34.8 | 1170.5639190673828 | 307839.43161250005
